code_switched,arabic,english
طب في بقى مواقف تانية اتكلمتي English علشان تحسسي اللي قدامك انك فاهمه بس actually انت بتتكلمي في حاجة انت مش فاهمها كويس؟,طب في بقى مواقف تانية اتكلمتي إنجليزي علشان تحسسي اللي قدامك انك فاهمه بس فعلاً انت بتتكلمي في حاجة انت مش فاهمها كويس؟,Well are there other situations where you spoke in English to show others that you understand but actually you are talking about a topic that you do not understand well?
يعني علشان في ناس بتستخدم ده علشان تداري,يعني علشان في ناس بتستخدم ده علشان تداري,I mean because some people may use this way to hide
مثلا احنا كلنا عملنا ده في .. في evaluation مثلا projects,مثلا احنا كلنا عملنا ده في .. في تقييم مثلا المشاريع,For example all of us have done that in .. in evaluation of for example projects
فممكن اقعد اتكلم وانا مش فاهم اصلا,فممكن اقعد اتكلم وانا مش فاهم اصلا,I can keep talking while I do not even understand
طيب ايه اكتر حاجة بتحبيها في شخصيتك؟ في طريقتك؟,طيب ايه اكتر حاجة بتحبيها في شخصيتك؟ في طريقتك؟,What do you like the most about your character? In your way?
Okay تقدري تعيشي من غير mobile?,تمام تقدري تعيشي من غير موبايل؟,Okay can you live without a mobile?
طيب ممكن تختاري اي حاجة و تقنعيني بيها؟ اي حاجة يعني مثلا انا انا MET زي ما انت كنت MET مثلا اختاري ا .. ا .. اشتغل مثلا TA ولا اروح شركة؟ ا .. اي حاجة و اقنعيني بيها,طيب ممكن تختاري اي حاجة و تقنعيني بيها؟ اي حاجة يعني مثلا انا انا أم اي تي زي ما انت كنت أم اي تي مثلا اختاري ا .. ا .. اشتغل مثلا مدرس مساعد ولا اروح شركة؟ ا .. اي حاجة و اقنعيني بيها,Well can you choose anything and convince me with it? Anything for example I'm I'm MET like you were MET choose for example to .. to .. to work for example TA or to go for a company? anything and convince me with it
اقنعتني، اقنعتني عشان انا كنت بفكر في كده,اقنعتني، اقنعتني عشان انا كنت بفكر في كده,"You convinced me, you convinced me because I was thinking of that"
Merci merci,شكرا شكرا,Merci merci
Okay ممكن ممكن تقوليلنا اتولدتي فين؟,تمام ممكن ممكن تقوليلنا اتولدتي فين؟,Okay can can you tell us where were you born?
او او يعني دخلتي مدرسة national ولا international تعليمك عامة؟,او او يعني دخلتي مدرسة لغات ولا دولية تعليمك عامة؟,Or or did you go to national or international school your education generally?
Okay كنت major إيه أو الجامعة مش لازم اسم الجامعة نفسها ال+major يعني الدراسة ؟,تمام كنت تخصص إيه أو الجامعة مش لازم اسم الجامعة نفسها التخصص يعني الدراسة ؟,"Okay what was your major or the university, it's not important the name of the university itself, what is your major I mean you study scope?"
Okay وكان ال+bachelor*project ايه؟,تمام وكان مشروع التخرج ايه؟,Okay and what was your Bachelor project?
طب ممكن تقوليلنا بتعملي إيه في يومك لما تصحي الصبح؟,طب ممكن تقوليلنا بتعملي إيه في يومك لما تصحي الصبح؟,Can you tell us what do you do in your day when you wake up in the morning?
Your daily routine,روتينك اليومي,Your daily routine
يعني daily routine عامة يومك بيمشي ازاي بتروحى فين بتوصلي الاولاد بتيجي الشغل كده يعني,يعني الروتين اليومي عامة يومك بيمشي ازاي بتروحى فين بتوصلي الاولاد بتيجي الشغل كده يعني,I mean your daily routine generally how does your day go where do you go you drive the kids you go to work something like that.
Okay,تمام,Okay
Okay طيب كان إيه أكتر quote أنت قريتها بتحبيها او معلمة معاكي quote؟,تمام طيب كان إيه أكتر مقولة أنت قريتها بتحبيها او معلمة معاكي مقولة؟,Okay what was the most quote that you have read that you like or which is remarkable for you quote?
في أي حتة quote عامة بتحبيها؟,في أي حتة مقولة عامة بتحبيها؟,Is there any piece of quote that you like in general?
Okay طيب ماشي طب انت ال+favorite*artist بتاعك؟ أكتر حد بتحبي تتفرجي عليه او تقريله artist عامة ؟,تمام طيب ماشي طب انت الفنان المفضل بتاعك؟ أكتر حد بتحبي تتفرجي عليه او تقريله فنان عامة ؟,Okay well okay well who is your favorite artist? which artist do you like watching the most or reading for generally?
في حد .. في حاجة .. في حد معين ولا مافيش؟,في حد .. في حاجة .. في حد معين ولا مافيش؟,Is there somebody .. in a certain thing .. is there any specific person or is there not?
Okay طيب sport?,تمام طيب رياضة؟,Okay okay sport?
favorite sport?,رياضة مفضلة؟,Favorite sport?
Okay ماشي طب انت عامة اما كنت في الجامعة دخلتي clubs او كنت في scout او كده؟,تمام ماشي طب انت عامة اما كنت في الجامعة دخلتي نشاط او كنت في كشافة او كده؟,Okay okay so when you were at the university in general were you enrolled in clubs or were you in scout or anything of that sort?
Okay طب ممكن تقوليلنا ال+role كانت إيه و كنت في أنهي department مثلا كنتوا بتشتغلوا project إيه او كده؟,تمام طب ممكن تقوليلنا المهام كانت إيه و كنت في أنهي قسم مثلا كنتوا بتشتغلوا مشروع إيه او كده؟,"Okay well can you tell us what the role was about and which department you were in, for instance which project were you working on and so on?"
Okay ماشي طيب بتحبي تسمعي أغاني English ولا عربي؟,تمام ماشي طيب بتحبي تسمعي أغاني إنجليزي ولا عربي؟,Okay well okay do you like listening to English or Arabic songs?
طيب أكتر فيلم بتحبيه؟,طيب أكتر فيلم بتحبيه؟,Which movie do you like most?
مافيش؟,مافيش؟,Nothing?
Okay,تمام,Okay
ماشي,ماشي,Okay
Okay انت أنت عندك اولاد او كده?,تمام انت أنت عندك اولاد او كده?,Okay do you you have kids or so?
Okay ماشي,تمام ماشي,Okay okay
كان نفسك تشتغلي إيه؟,كان نفسك تشتغلي إيه؟,Which job do you want to have?
كنت حابة تكوني شغلانة تانية؟,كنت حابة تكوني شغلانة تانية؟,Did you wish to have another job?
او يعني إيه ال+dream*job بتاعتك عامة و أنت في الجامعة و انت في المدرسة؟,او يعني إيه وظيفة الأحلام بتاعتك عامة و أنت في الجامعة و انت في المدرسة؟,Or what was your dream job generally back at the university and back at school?
Okay,تمام,Okay
ليه؟,ليه؟,Why?
Okay,تمام,Okay
فلو انت في يوم و ده لو نفترض انه موجود هو مش حاجة يعني applicable بس لو انت في يوم اختارتى انك ترجعى تانى student هتعملي كده ولا برضه you prefer خلاص إن أنت عديتي المرحلة دي,فلو انت في يوم و ده لو نفترض انه موجود هو مش حاجة يعني لو ينفع بس لو انت في يوم اختارتى انك ترجعى تانى طالبة هتعملي كده ولا برضه انتي بتفضلي خلاص إن أنت عديتي المرحلة دي,"What if one day, let's suppose that it can happen, which is not applicable, what if you choose to be a student again would you do that or would you still prefer that you have passed such phase."
يعنى كان قبليكي قالوا ان هم مثلا لأ مش حابين ان احنا اه هي كانت اريح و اسهل بس احنا مش عايزين نرجع student,يعنى كان قبليكي قالوا ان هم مثلا لأ مش حابين ان احنا اه هي كانت اريح و اسهل بس احنا مش عايزين نرجع طلبة,I mean many said before that they do not like that they yes it was more comfortable and easier but we do not want to go back to being students
لسا بتتكلموا و بتتعاملوا ولا اما رجعتي؟,لسا بتتكلموا و بتتعاملوا ولا اما رجعتي؟,Do you still talk and interact together or when yo return back?
السفرية دى كأنت كنت بتعملي ايه؟,السفرية دى كأنت كنت بتعملي ايه؟,"In this trip, what were you doing?"
Master's مثلا او؟,الماجستير مثلا او؟,Master's for example or?
Okay ماشي طب ممكن ممكن تحكيلنا ع ال+PhD نسمع عنها؟,تمام ماشي طب ممكن ممكن تحكيلنا ع الدكتوراه نسمع عنها؟,Okay okay well can can you tell us about your PhD can we hear about it?
Okay مش مشكلة,تمام مش مشكلة,Okay no problem
Okay طيب في مكان عاوزة تسافريه معين غير مثلا Germany اللى أنت روحتيها او سافرتي سفارية تانية؟,تمام طيب في مكان عاوزة تسافريه معين غير مثلا ألمانيا اللى أنت روحتيها او سافرتي سفارية تانية؟,Okay okay is there a place you want to travel to apart from for example Germany that you have already visited or have you traveled another trip?
في مكان ماروحتيهوش عاوزة تروحيه؟,في مكان ماروحتيهوش عاوزة تروحيه؟,Is there a place that you haven't yet visited and would like to go to?
ماشي اشمعنى؟,ماشي اشمعنى؟,Okay why is that?
في أسباب؟,في أسباب؟,Are there reasons?
في أسباب ل ده؟,في أسباب ل ده؟,Are there reasons for that?
Okay,تمام,Okay
ماشي طيب ممكن تحكيلنا عن آخر أجازة قضيتها في مصر سفرية او كده روحتي فين؟,ماشي طيب ممكن تحكيلنا عن آخر أجازة قضيتها في مصر سفرية او كده روحتي فين؟,Okay okay can you tell us about your last trip to Egypt or so where have you gone to?
عملتي إيه؟,عملتي إيه؟,What did you do?
Briefly يعني,باختصار يعني,I mean briefly
Okay,تمام,Okay
بتحبي المكان هناك أو زورتى إيه مثلا؟,بتحبي المكان هناك أو زورتى إيه مثلا؟,Do you like the place there or what have you visited for example?
Okay,تمام,Okay
Okay بس أكيد في وقت أو لحظة خليتك غيرتى حاجة تفكيرك أو غيرتى مثلا مثلا major في الجامعة,تمام بس أكيد في وقت أو لحظة خليتك غيرتى حاجة تفكيرك أو غيرتى مثلا مثلا التخصص في الجامعة,Okay but there is definitely a time or moment that made you change your mind or change for example for example your university major
غيرتي حاجة خلتك تفكري بشكل تاني مختلفة,غيرتي حاجة خلتك تفكري بشكل تاني مختلفة,You changed something that made you think differently
حصل حاجة زى كده ولا كنت الحياة ماشية او ماشية smoothly عادي.,حصل حاجة زى كده ولا كنت الحياة ماشية او ماشية بسلاسة عادي.,Have you faced something like that or was life moving smoothly
Okay,تمام,Okay
Okay طيب سؤال صعب شوية في role model role model في حياتك اساسي؟,تمام طيب سؤال صعب شوية في مثل أعلى مثل أعلى في حياتك اساسي؟,Okay so a tough question is there a main role model role model in your life?
حد معين؟,حد معين؟,Someone in specific?
Okay,تمام,Okay
Okay,تمام,Okay
طيب يعني انا السؤال هقراه زى ما هو كده اللي هو in a class أو عامة would you rather be liked or respected؟,طيب يعني انا السؤال هقراه زى ما هو كده اللي هو في الفصل أو عامة تفضلي تكوني محبوبة ولا ان الناس تحترمك؟,Okay I will read the question as it is in a class or in general would you rather be liked or respected?
ماشي بتحسي نفسك شخص سهل الناس تتكلم معاه ولا صعب شويه؟,ماشي بتحسي نفسك شخص سهل الناس تتكلم معاه ولا صعب شويه؟,Okay do you feel like you are an easy person to talk to or not?
ماشي,ماشي,Okay
بتحسي الموضوع صعب شوية انك تتعاملي مع ناس من social level مختلف؟,بتحسي الموضوع صعب شوية انك تتعاملي مع ناس من مستوى اجتماعي مختلف؟,Do you feel it is difficult to deal with people from different social level?
اعلى او اقل؟,اعلى او اقل؟,Higher or lower
بتحسي الوضوع ..,بتحسي الوضوع ..,Do you feel the situation
مثلا مابتحسيش واحنا بنتكلم مع ناس social level أقل انه انا مش عارف اتكلم بنفس الطريقة اللى بتكلم معاها مع كل الناس مثلا؟,مثلا مابتحسيش واحنا بنتكلم مع ناس مستوى اجتماعي أقل انه انا مش عارف اتكلم بنفس الطريقة اللى بتكلم معاها مع كل الناس مثلا؟,Do you not feel like when we're talking to people from a lower social level that you are not talking in the same way you would use with other people for example?
فهو ممكن مايفهمنيش لو انا اتكلمت English اتكلمت اي حاجة مش هيفهمني؟,فهو ممكن مايفهمنيش لو انا اتكلمت إنجليزي اتكلمت اي حاجة مش هيفهمني؟,So he may not understand me if I talk in English or if I said anything he would not understand me
ولا بتعرفي تتعاملي على طول انه once اللي قدامي مش فاهم ده هعرف اتكلم معاه عادي؟,ولا بتعرفي تتعاملي على طول انه أول اللي قدامي مش فاهم ده هعرف اتكلم معاه عادي؟,Or do you know how to deal with it immediately that once the person I'm talking to does not understand I will talk to him normally?
Okay ماشي,تمام ماشي,Okay okay
Okay,تمام,Okay
مش فاهم,مش فاهم,I do not understand
ماشي طيب إيه أكتر حاجة بتخليكي تحسي انك stressed؟,ماشي طيب إيه أكتر حاجة بتخليكي تحسي انك مضغوطة؟,Okay okay what's the primal thing that makes you stressed?
بتتوتري لما بتحصل؟,بتتوتري لما بتحصل؟,You get stressed when it happened?
Okay و ازأي بت+handle#ى الموقف ده?,تمام و ازأي بتتعاملى مع الموقف ده؟,Okay how do you handle such a situation?
Okay طيب في مرة و انت بتتكلمي مع حد او بت مثلا و أنت student في evaluation او كده كنت انت بتتكلمي في topic أنت مش فهماه كويس فكنت بتتكلمي English او بتغيري languages او بتحسسي اللي قدامك انك فاهمه اوي؟,تمام طيب في مرة و انت بتتكلمي مع حد او بت مثلا و أنت طالبة في تقييم او كده كنت انت بتتكلمي في موضوع أنت مش فهماه كويس فكنت بتتكلمي إنجليزي او بتغيري اللغات او بتحسسي اللي قدامك انك فاهمه اوي؟,Okay okay did it happen before that while you were talking to someone or for instance when you were a student during an evaluation or so you were talking about a topic that you don't understand well so you were talking in English or alternating languages or showing the other person that you understand well?
فكنت بتعملي كده؟,فكنت بتعملي كده؟,So you used to do that?
كلنا تقريبا,كلنا تقريبا,almost all of us
Okay و كان reaction الشخص اللى قدامك إيه؟,تمام و كان رد فعل الشخص اللى قدامك إيه؟,Okay and how did the other person react?
يعني he believed ان أنت فاهمه اوى ولا ولا لأ قعد يضغط بقى في الاسئلة و لأ طب ازاي و عم و ايه كده؟,يعني هو مصدق ان أنت فاهمه اوى ولا ولا لأ قعد يضغط بقى في الاسئلة و لأ طب ازاي و عم و ايه كده؟,So he believed that you understand well or did he keep pressuring you with questions and no but how and so on?
ماشي طيب عملتي برضه نفس الموقف ده بس علشان تقدري تخلي اللى قدامك يحس اللي هو to impress اللي قدامك؟,ماشي طيب عملتي برضه نفس الموقف ده بس علشان تقدري تخلي اللى قدامك يحس اللي هو تبهري اللي قدامك؟,Okay okay did you do the same just to make others feel that is to impress others?
يعني اذا كان مثلا يعني مثلا كان في حد قال انه عمل كده في في مدرسة علشان interview مدرسة علشان يعرف يدخل الولد في ال+interview فلازم قعد يتكلم English وكده؟,يعني اذا كان مثلا يعني مثلا كان في حد قال انه عمل كده في في مدرسة علشان مقابلة مدرسة علشان يعرف يدخل الولد في المقابلة فلازم قعد يتكلم إنجليزي وكده؟,I mean if there is for example actually there was someone who said that he did so at at school for a school interview to be able to to enroll his son to school so he had to speak English in the interview and so on?
فاحتجتي تعملي كده علشان الناس اللي قدامك تنبهر او كده؟,فاحتجتي تعملي كده علشان الناس اللي قدامك تنبهر او كده؟,So did you need to do that to make the other people get impressed or something of that sort?
Okay,تمام,Okay
طب تقدري تعيشي من غير mobile؟,طب تقدري تعيشي من غير موبايل؟,"Well, can you do without a mobile?"
ليه؟,ليه؟,Why?
Okay,تمام,Okay
طب خلاص ماشي merci.,طب خلاص ماشي شكرا.,Okay that's it okay merci.
اه خلاص,اه خلاص,Okay that's it
طيب ممكن .. ممكن تحكيلنا عن background يعنى مثلا انت اتولدت فين و اتعلمت ايه .. اتعلمت في ..فين و كده، مش لازم اسم المدرسة بس مدرسة national ،international، ال+language إيه؟ كده يعني,طيب ممكن .. ممكن تحكيلنا عن خلفيتك يعنى مثلا انت اتولدت فين و اتعلمت ايه .. اتعلمت في ..فين و كده، مش لازم اسم المدرسة بس مدرسة قومية ،دولية، اللغات إيه؟ كده يعني,"Okay would you .. would you please tell us about your background for example where were you born and what did you study .. I studied at .. where and so on, it's not important to mention the school name but is it international school, national, what was the language? and so on"
Okay أنت منين اصلا؟ من القاهرة ولا من ..؟,تمام أنت منين اصلا؟ من القاهرة ولا من ..؟,Okay where are you originally from? From Cairo or not from ..?
Okay طيب bachelor بتاعك عن إيه؟,تمام طيب مشروع التخرج بتاعك عن إيه؟,Okay okay what is your Bachelor about?
طيب ماشي إيه ال .. إيه ال+favorite*sport بتاعتك أكتر رياضة بتلعبها,طيب ماشي إيه ال .. إيه الرياضة المفضلة بتاعتك أكتر رياضة بتلعبها,Okay okay what is your .. is your favorite sport the one you play the most.
Okay طب تلعب basket كل قد إيه؟,تمام طب تلعب سلة كل قد إيه؟,Okay okay how often do you play basketball?
عامة بقالك قد إيه بتلعب؟,عامة بقالك قد إيه بتلعب؟,In general how long have you been playing?
ماشى إيه أكتر فيلم favorite movie أنت بتحبه؟ و ليه؟ او ممكن تحكيلنا عنه حبة كده,ماشى إيه أكتر فيلم فيلم مفضل أنت بتحبه؟ و ليه؟ او ممكن تحكيلنا عنه حبة كده,Okay what is the most movie favorite movie you like? and why? or can you please briefly tell us about it
طب ممكن تحكيلنا عنه شوية لو .. لو أنت حابب يعنى,طب ممكن تحكيلنا عنه شوية لو .. لو أنت حابب يعنى,Okay would you please tell us briefly about it .. if you like
ماشى,ماشى,Okay
أنت تحب أكتر تبقي freelancer يعني أو تشتغل حاجة حسب مزاجك؟,أنت تحب أكتر تبقي مستقل يعني أو تشتغل حاجة حسب مزاجك؟,Would you like most to be a freelancer or to work in a field that you like?
Okay طيب أنت عملت قبل كده internships او اشتغلت في شغل قبل كده part-time او full-time أو اي حاجة؟,تمام طيب أنت عملت قبل كده فترات تدريب او اشتغلت في شغل قبل كده دوام كامل او دوام جزئي أو اي حاجة؟,Okay okay have you done before internships or have you worked before a part-time or full-time job or anything of that sort?
Okay,تمام,Okay
اشمعنى؟ اشمعنى تقبل الفرصة دي؟,اشمعنى؟ اشمعنى تقبل الفرصة دي؟,Why is that? why did you accept that opportunity?
ممكن تحكيلنا عن .. عن .. عن أكتر واحدة عجبتك او أكتر حاجة عملت فيها activities مش لازم آخر واحدة يعني,ممكن تحكيلنا عن .. عن .. عن أكتر واحدة عجبتك او أكتر حاجة عملت فيها أنشطة مش لازم آخر واحدة يعني,Would you please tell us about .. about .. about the one you liked the most and the one where you did many activities it is not necessary to be the last one
أكتر حاجة عملت فيها activities كانت أسوان,أكتر حاجة عملت فيها أنشطة كانت أسوان,The most place I did activities in was Aswan
Okay,تمام,Okay
Okay,تمام,Okay
طيب أنت بتحب القراية؟,طيب أنت بتحب القراية؟,Okay do you like reading?
ماشى طيب ممكن قلنا مثلا وقت في حياتك كنت حسيت إن ده turning point او خلتك تفكر بطريقة مختلفة مش .. يعنى كنت بتعمل حاجة أو بتفكر في حاجة و فجأة غيرت تفكيرك كله,ماشى طيب ممكن قلنا مثلا وقت في حياتك كنت حسيت إن ده نقطة تحول او خلتك تفكر بطريقة مختلفة مش .. يعنى كنت بتعمل حاجة أو بتفكر في حاجة و فجأة غيرت تفكيرك كله,Okay okay could you tell us about for example about certain time in your life when you feel that it is a turning point or made you think in a different way not .. you were doing something or thinking or something and you suddenly completely change your mind
ماشى طيب في شغلك في ال+part-time اللي انت عملته او في ال+internships أو في الجامعة بتحب تشتغل أكتر في team ولا بتشتغل لوحدك و أنت مسئول عن كل حاجة؟,ماشى طيب في شغلك في الدوام الجزئي اللي انت عملته او في التدريبات أو في الجامعة بتحب تشتغل أكتر في فريق ولا بتشتغل لوحدك و أنت مسئول عن كل حاجة؟,Okay in your part-time job that you were doing or in the internships or in the university do you much prefer to work on a team or to work individually and to be in charge of everything?
Okay ماشى طب و .. و ازاي لو انت leader team إزاى بتشجع ال+team ولا لازم هم يكونوا .. يعنى لو واحد اه okay هو بيشتغل بس هو بعديها يعني خستع شويه فازاي بتشجعه؟,تمام ماشى طب و .. و ازاي لو انت قائد الفريق إزاى بتشجع الفريق ولا لازم هم يكونوا .. يعنى لو واحد اه تمام هو بيشتغل بس هو بعديها يعني خستع شويه فازاي بتشجعه؟,"Okay well and .. how to be a team leader and how to encourage the team and that they should be .. if someone was okay with working then he failed to continue, how should I encourage him?"
في role model تانى في ال+real*life يعنى؟,في مثل أعلى تانى في الحياة الواقعية يعنى؟,You mean if I have another role model in real life?
يعني أنت تحب أكتر تكون الناس بتعمل حاجة دى علشان بتحبك ولا علشان they have to ان هم يعملوا ده وعشان هم they respect .. respect you ان انت لازم ده يتعمل,يعني أنت تحب أكتر تكون الناس بتعمل حاجة دى علشان بتحبك ولا علشان المفروض ان هم يعملوا ده وعشان هم بيحترموك .. بيحترموا ان انت لازم ده يتعمل,Do you prefer that people do you a favor because they like you or because they have to respect you as they believe that they do this because they respect you?
حلو,حلو,Good
طيب انت بتعتبر نفسك شخص سهل الناس تتكلم معاه وتاخد عليك ولا لازم فترة ice breaking كده؟,طيب انت بتعتبر نفسك شخص سهل الناس تتكلم معاه وتاخد عليك ولا لازم فترة تعارف كده؟,Do you that you are an easy person to talk with and to have a friendly talk with or you need ice breaking for some time?
ليه؟,ليه؟,Why?
الناس مابتخشش ان هي تتكلم معاك و تتعود عليك بسرعة,الناس مابتخشش ان هي تتكلم معاك و تتعود عليك بسرعة,So people don't talk with you easily and don't get used to you.
ماشى,ماشى,Okay
حتى لو بتتعاموا مش في حاجة ليها علاقة بال+education هتتعاملوا عامة في حاجة event أو أى حاجة؟,حتى لو بتتعاموا مش في حاجة ليها علاقة بالتعليم هتتعاملوا عامة في حاجة مناسبة أو أى حاجة؟,"Even if you don't interact with people in an education context, you will meet in an event or something."
Okay,تمام,Okay
ماشى طيب,ماشى طيب,well okay
أكتر حاجة بيقولولك انت بتعمل كده دايما,أكتر حاجة بيقولولك انت بتعمل كده دايما,What they usually tell you that he always does this
انت مثلا مثلا مابتقعدش معانا مثلا,انت مثلا مثلا مابتقعدش معانا مثلا,"For example, you don't sit with us."
Okay طب و عملت .. استخدمت قبل كده ال+English في كلامك علشان تخلي الناس قدامك ت .. ت .. تفتكر إن هو okay يفكروا ان انت you're higher social level يعني?,تمام طب و عملت .. استخدمت قبل كده الإنجليزي في كلامك علشان تخلي الناس قدامك ت .. ت .. تفتكر إن هو تمام يفكروا ان انت من مستوى اجتماعي أعلى يعني?,Okay and have you .. used English in the middle of your speech so that people in front of you .. you .. think that okay you're in a higher social level definitely?
ماشي طيب إيه أكتر حاجة بتخليك stressful مضغوط جدا,ماشي طيب إيه أكتر حاجة بتخليك متوتر مضغوط جدا,Okay.What makes you very stressful?
ماشى طيب ممكن تختار أى حاجة و تقنعنا بيها,ماشى طيب ممكن تختار أى حاجة و تقنعنا بيها,"Okay, well you can choose anything and persuade us to do."
أى حاجة، أى حاجة إن أحنا نسافر أن أحنا نشتغل أى حاجة,أى حاجة، أى حاجة إن أحنا نسافر أن أحنا نشتغل أى حاجة,"Anything, anything like traveling or working."
يعني مثلا أحنا قاعدين هنا في ال .. في الجامعة ماسافرناش برا، انت ليه سافرت؟,يعني مثلا أحنا قاعدين هنا في ال .. في الجامعة ماسافرناش برا، انت ليه سافرت؟,"For example, we are here at the .. university and we haven't traveled abroad so why did you travel abroad?"
